frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
175,5881.7,,,,,,,,,,9,529,344,,,,,,,9,694,351,,,,,,,,,,,,,,,,8,699,187,,,,,,
176,5914.8,,,,,,,,,,9,529,336,,,,,,,9,693,344,,,,,,,,,,,,,,,,7,699,180,,,,,,
177,5949.6,,,,,,,,,,9,529,330,,,,,,,9,692,337,,,,,,,,,,,,,,,,7,698,173,,,,,,
178,5982.0,,,,,,,,,,9,528,322,,,,,,,9,691,329,,,,,,,,,,,,,,,,8,697,166,,,,,,
179,6018.2,,,,,,,,,,9,527,315,,,,,,,9,691,322,,,,,,,,,,,,,,,,7,696,158,,,,,,
180,6049.9,,,,,,,,,,9,526,308,,,,,,,9,690,315,,,,,,,,,,,,,,,,7,695,151,,,,,,
181,6084.6,,,,,,,,,,9,526,300,,,,,,,9,689,307,,,,,,,,,,,,,,,,7,694,143,,,,,,
182,6120.7,,,,,,,,,,9,525,293,,,,,,,9,689,300,,,,,,,,,,,,,,,,7,693,135,,,,,,
183,6152.6,,,,,,,,,,9,524,286,,,,,,,8,688,292,,,,,,,,,,,,,,,,8,693,128,,,,,,
184,6181.6,,,,,,,,,,9,523,278,,,,,,,9,687,284,,,,,,,,,,,,,,,,7,692,120,,,,,,
185,6213.5,,,,,,,,,,9,523,270,,,,,,,9,687,276,,,,,,,,,,,,,,,,8,691,112,,,,,,
186,6249.8,,,,,,,,,,9,522,262,,,,,,,9,686,268,,,,,,,,,,,,,,,,7,690,104,,,,,,
187,6282.5,,,,,,,,,,9,522,255,,,,,,,9,686,260,,,,,,,,,,,,,,,,7,690,96,,,,,,
188,6313.8,,,,,,,,,,8,521,247,,,,,,,9,685,252,,,,,,,,,,,,,,,,7,689,88,,,,,,
189,6349.7,,,,,,,,,,9,520,238,,,,,,,9,684,244,,,,,,,,,,,,,,,,7,688,79,,,,,,
190,6381.6,,,,,,,,,,9,519,230,,,,,,,9,683,235,,,,,,,,,,,,,,,,7,687,71,,,,,,
191,6415.1,,,,,,,,,,9,519,221,,,,,,,9,683,227,,,,,,,,,,,,,,,,7,686,62,,,,,,
192,6449.4,,,,,,,,,,9,518,213,,,,,,,9,682,218,,,,,,,,,,,,,,,,7,686,54,,,,,,
193,6481.7,,,,,,,,,,9,517,204,,,,,,,9,682,209,,,,,,,,,,,,,,,,7,685,45,,,,,,
